Qty,Value,Device,Package,Parts,Description,MPN
3,,LEDCHIPLED_0805,CHIPLED_0805,LED1- LED2- LED3,LED,LTST-C170TBKT
8,0.1uF,CAP0805,805,C3- C4- C5- C7- C10- C11- C12- C15,Capacitor,CC0603KRX7R7BB104
1,1.5K,RESISTOR0805-RES,805,R3,Resistor,RT0805BRD071K5L
2,100K,RESISTOR0805-RES,805,R8- R9,Resistor,RC0805FR-07100KL
1,100pF,CAP0805,805,C2,Capacitor,CC0805JRNPO9BN101
5,10K,RESISTOR0805-RES,805,R1- R5- R6- R7- R13,Resistor,RC0805JR-0710KL
1,16MHZ,RESONATOR16MHZ,RESONATOR-SMD,Y1,Resonator,CSTCE16M0V53-R0
1,1uF,CAP0805,805,C9,Capacitor,CC0805KKX7R7BB105
1,4.7uF,CAP0805,805,C8,Capacitor,CC0805KKX5R8BB475
3,47,RESISTOR0805-RES,805,R2- R4- R10,Resistor,RC0805JR-0747RL
1,ADMP401,ADMP401,ADMP401,U6,Omnidirection bottom-port MEMS microphone,INMP401ACEZ-R7
1,ATMEGA328P,ATMEGA328P_TQFP,TQFP32-08,U1,MCU,ATMEGA328PB-AU
1,BMP280,BMP280,BMP280,IC1,Barometric pressure sensor,BMP280
1,CCS811,CCS811-I2C,LGA,U8,Digital Gas Sensor,CCS811
1,OPA344,OPA344,SOT23-5,U3,Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.,OPA344NA/3K
1,SHT31/35,SHT31-DIS,SHT3X,U7,Temperature and Humidity,SHT31-DIS-B
1,TAC_SWITCHSMD,TAC_SWITCHSMD,TACTILE-SWITCH-SMD,RESET,Momentary Switch,PTS525SM15SMTR2 LFS
1,TSL2561,TSL2561FN,FN-6,U2,TSL2561 illumination sensor,TSL2561FN